time,f0,confidence,loudness
79.73,633.9001199241083,0.09920651,-12.435788345339676
79.74,645.3389354393314,0.1246739,-12.413478398849179
79.75,645.7286796542617,0.11852297,-12.41028744614255
79.76,659.621681792149,0.082990915,-12.423014003390072
79.77,658.3044659796859,0.09737989,-12.437741807622007
79.78,633.4856566346004,0.100652784,-12.449937002458077
79.79,648.5296997246658,0.07396293,-12.456080125035163
79.8,659.9339704245685,0.06183499,-12.480402667561536
79.81,653.4802796037167,0.0809294,-12.488297088519683
79.82,644.6847357776413,0.032866657,-12.433194777226884
79.83,642.6535074999069,0.0671621,-12.443403135141075
79.84,636.5075580591305,0.076688975,-12.419279157434875
79.85,627.5394160249815,0.26249564,-12.426216786244874
79.86,633.768938993595,0.1220417,-12.381189163577119
79.87,630.6186349036593,0.47096235,-12.384355618752938
79.88,629.7392684923049,0.47547752,-12.40046429616925
79.89,630.0330369334854,0.033255816,-12.347051817123337
79.9,633.0789689245926,0.0158602,-12.341753339101482
79.91,632.005903353608,0.038224608,-12.359386638572884
79.92,634.8748549472269,0.13190788,-12.318410535504759
79.93,653.1887679647787,0.13906574,-12.29343879415044
79.94,655.9396265295009,0.106992096,-12.23845059927193
79.95,658.5053657096115,0.08453998,-12.231525846213684
79.96,634.6105517332643,0.052027076,-12.250223758554167
79.97,635.0770697548161,0.03280559,-12.272907691237258
79.98,643.0478830856216,0.11393446,-12.264694713787552
79.99,651.5571289579973,0.1162484,-12.247877903641578
80.0,658.988934530792,0.08318424,-12.25205996028083
80.01,668.3888281481314,0.12638444,-12.223153676029966
80.02,673.4907997230837,0.11689982,-12.212831051439627
80.03,674.4996847536116,0.22480851,-12.24018224440246
80.04,680.4474318289076,0.12213352,-12.222347280371334
80.05,687.4350901688485,0.18337762,-12.251614904086619
80.06,694.8881473556576,0.18996117,-12.279861231405414
80.07,706.4045505709555,0.015227199,-12.31796222570742
80.08,717.0484789943484,0.051403552,-12.325852084322527
80.09,725.5669619285947,0.061745703,-12.301969116754503
80.1,753.348622918799,0.1667318,-12.371584817144782
80.11,759.580258756283,0.06464738,-12.373389742115503
80.12,779.2445088101448,0.13347176,-12.381021467217439
80.13,746.3167402554562,0.1590468,-12.436207678815068
80.14,687.151635431821,0.2344074,-12.427131470284664
80.15,659.9152210919435,0.08845362,-12.448026160586025
80.16,662.9815530657537,0.14265525,-12.44683290624313
80.17,663.5632345711731,0.1412068,-12.450520273333495
80.18,660.3739579158548,0.08302158,-12.42415826940231
80.19,641.9162026416809,0.11307201,-12.452297453214337
80.2,574.9755051401959,0.029690295,-12.455477690074355
80.21,491.05032983306336,0.031341314,-12.4410826529263
80.22,436.487029007562,0.024550468,-12.4799032156088
80.23,385.5952754201991,0.023073256,-12.452686158770321
80.24,346.9018183309647,0.3714103,-12.143267711229294
80.25,350.7059753598344,0.5328474,-11.541217136531195
80.26,354.5168426777816,0.75122344,-11.464975893005946
80.27,352.0669974563855,0.6387404,-11.90710023511023
80.28,348.19208380067033,0.29994392,-12.333038591207382
80.29,345.9899979973452,0.10659227,-12.418033154653193
80.3,350.7857439328922,0.19412476,-12.335943431479029
80.31,354.68674809570564,0.6764112,-12.129401344238111
80.32,354.8287894099102,0.81804717,-11.942569763430589
80.33,356.13950185305725,0.8008359,-11.902821307214149
80.34,357.6156687693402,0.7772906,-11.957414672057658
80.35,358.28884302004064,0.79365504,-11.898007976182932
80.36,357.3375029847041,0.81229645,-11.837567581726137
80.37,355.38458224354537,0.80994827,-11.776406133121323
80.38,353.5298299930314,0.86763287,-11.7854623825694
80.39,352.34778218567305,0.8819724,-11.747303370436372
80.4,351.1044474841611,0.8855512,-11.707415610993452
80.41,349.6167855962721,0.8804487,-11.752649533707775
80.42,348.993174855342,0.85838056,-11.744750794473072
80.43,348.1526644094823,0.8954357,-11.79725135639677
80.44,347.7650936488144,0.923385,-11.848027486258744
80.45,347.6554616415175,0.91341126,-11.950614202394208
80.46,347.93673872097935,0.85259354,-12.054045735071563
80.47,347.9052956842398,0.80522025,-12.174466590802334
80.48,349.2873254809871,0.7992348,-12.077253748355696
80.49,350.440526955689,0.63167566,-11.728857362854626
80.5,353.3645569199984,0.19075403,-11.280504664163617
80.51,368.19793913395705,0.22185853,-11.175071738619483
80.52,379.3336370409668,0.14466366,-11.599756392486793
80.53,418.9974777939756,0.07647616,-12.11045344105857
80.54,471.5907536935226,0.056546956,-12.018283665639089
80.55,534.9319835536451,0.071888864,-11.755309261544303
80.56,595.9183409643133,0.28313583,-11.669992616139387
80.57,590.9075047376062,0.7654625,-11.61721571848436
80.58,590.4818367442718,0.8007903,-11.5690331399323
80.59,591.6882727665644,0.8241602,-11.531875161970206
80.6,593.5714512960421,0.8769553,-11.49184245544512
80.61,594.2427097354553,0.91577375,-11.51421577909647
80.62,593.3411125915729,0.9124156,-11.575871475378042
80.63,592.445354739031,0.9301739,-11.621288883063706
80.64,591.1773021314876,0.9582757,-11.691767489396797
80.65,590.5415029595993,0.97035694,-11.771439292906114
80.66,589.9999389082386,0.9718007,-11.844186827735784
80.67,588.6172522337595,0.97250617,-11.839311600617373
80.68,587.1588149355924,0.9580145,-11.89397994490571
80.69,587.4103961204698,0.930172,-12.03941473346207
80.7,589.1118059630037,0.878103,-12.21940305531301
80.71,590.5354829014037,0.8498992,-12.083800862710504
80.72,593.3290335552974,0.5426345,-12.070996923013285
80.73,632.8935220587707,0.17687944,-12.09739033016039
80.74,592.6475755899297,0.17102924,-12.100124613689067
80.75,650.0649644875767,0.08640924,-11.92711111856946
80.76,657.1527440231631,0.10322511,-11.71503703771844
80.77,663.0382690313162,0.3427979,-11.90314416778073
80.78,668.6343015684413,0.41167164,-11.85550912002514
80.79,683.329044054737,0.68087846,-11.522792089875006
80.8,694.8726962109987,0.80920994,-11.416218572974058
80.81,702.0520144580621,0.84793425,-11.399830275217061
80.82,702.9187736743988,0.8699912,-11.363730007587263
80.83,702.4859808677853,0.7212809,-11.353385664881584
80.84,700.1690968103459,0.7496896,-11.40775864454217
80.85,699.1005549943883,0.90168774,-11.423176356771224
80.86,699.6677437763744,0.92904115,-11.455560025575538
